file_id,user_id,subforum_id,num_contexts,label
12834217_1,572066,1346,0,noHate
12834217_2,572066,1346,0,noHate
12834217_3,572066,1346,0,noHate
12834217_4,572066,1346,0,hate
12834217_5,572066,1346,0,noHate
12834217_6,572066,1346,0,noHate
12834217_7,572066,1346,0,noHate
12834217_8,572066,1346,0,noHate
12834217_9,572066,1346,0,noHate
12834217_10,572066,1346,0,noHate
12834493_1,572058,1396,0,hate
12843221_1,575003,1396,0,noHate
12843221_2,575003,1396,0,noHate
12845600_1,575437,1396,0,noHate
12845600_2,575437,1396,0,noHate
12845600_3,575437,1396,0,noHate
12845600_4,575437,1396,0,noHate
12845808_1,572287,1396,1,noHate
12845808_2,572287,1396,1,noHate
12849464_1,575975,1346,0,noHate
12849464_2,575975,1346,0,noHate
12849464_3,575975,1346,1,hate
12849464_4,575975,1346,1,hate
12849464_5,575975,1346,1,noHate
12851329_1,576176,1346,0,noHate
12851329_2,576176,1346,0,noHate
12851329_3,576176,1346,0,noHate
12854837_1,573356,1346,0,noHate
12854837_2,573356,1346,0,noHate
12854837_3,573356,1346,0,noHate
12854837_4,573356,1346,0,noHate
12855154_1,576372,1346,0,hate
12855349_1,572083,1346,0,noHate
12855349_2,572083,1346,0,noHate
12855497_1,575939,1346,0,noHate
12855497_2,575939,1346,0,noHate
12855497_3,575939,1346,1,noHate
12855806_1,575744,1346,0,noHate
12855806_2,575744,1346,0,noHate
12856993_1,575948,1346,0,noHate
12856993_2,575948,1346,3,noHate
12858701_1,572179,1346,2,noHate
12860820_1,573375,1346,0,hate
12863641_1,572066,1346,0,noHate
12869018_1,575841,1346,0,noHate
12869018_2,575841,1346,0,noHate
12869018_3,575841,1346,1,hate
12869757_1,573148,1346,1,noHate
12870229_1,572066,1346,0,noHate
12870229_2,572066,1346,0,noHate
12870229_3,572066,1346,0,noHate
12870229_4,572066,1346,0,noHate
12870229_5,572066,1346,0,noHate
12870229_6,572066,1346,0,noHate
12875264_1,575695,1397,0,noHate
12875264_2,575695,1397,0,noHate
12875264_3,575695,1397,0,noHate
12875264_4,575695,1397,0,noHate
12875264_5,575695,1397,0,noHate
12883101_1,577823,1345,4,hate
12883101_2,577823,1345,4,noHate
12883101_3,577823,1345,4,noHate
12904919_1,572076,1345,0,hate
